program,school,phd,year,count
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2010-11,1
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2011-12,0
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2012-13,0
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2013-14,6
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2014-15,0
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2015-16,5
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2016-17,0
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2017-18,4
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2018-19,5
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2019-20,5
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2020-21,2
African-American Studies,WEINBERG ARTS AND SCIENCES,1,2021-22,2
Anthropology,WEINBERG ARTS AND SCIENCES,1,2010-11,4
Anthropology,WEINBERG ARTS AND SCIENCES,1,2011-12,3
Anthropology,WEINBERG ARTS AND SCIENCES,1,2012-13,7
Anthropology,WEINBERG ARTS AND SCIENCES,1,2013-14,8
Anthropology,WEINBERG ARTS AND SCIENCES,1,2014-15,5
Anthropology,WEINBERG ARTS AND SCIENCES,1,2015-16,7
Anthropology,WEINBERG ARTS AND SCIENCES,1,2016-17,6
Anthropology,WEINBERG ARTS AND SCIENCES,1,2017-18,4
Anthropology,WEINBERG ARTS AND SCIENCES,1,2018-19,9
Anthropology,WEINBERG ARTS AND SCIENCES,1,2019-20,6
Anthropology,WEINBERG ARTS AND SCIENCES,1,2020-21,7
Anthropology,WEINBERG ARTS AND SCIENCES,1,2021-22,3
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2010-11,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2011-12,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2012-13,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2013-14,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2014-15,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2015-16,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2016-17,0
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2017-18,12
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2018-19,11
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2019-20,2
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2020-21,6
Applied Physics,WEINBERG ARTS AND SCIENCES,1,2021-22,8
Art History,WEINBERG ARTS AND SCIENCES,1,2010-11,2
Art History,WEINBERG ARTS AND SCIENCES,1,2011-12,2
Art History,WEINBERG ARTS AND SCIENCES,1,2012-13,6
Art History,WEINBERG ARTS AND SCIENCES,1,2013-14,2
Art History,WEINBERG ARTS AND SCIENCES,1,2014-15,2
Art History,WEINBERG ARTS AND SCIENCES,1,2015-16,2
Art History,WEINBERG ARTS AND SCIENCES,1,2016-17,8
Art History,WEINBERG ARTS AND SCIENCES,1,2017-18,2
Art History,WEINBERG ARTS AND SCIENCES,1,2018-19,5
Art History,WEINBERG ARTS AND SCIENCES,1,2019-20,3
Art History,WEINBERG ARTS AND SCIENCES,1,2020-21,1
Art History,WEINBERG ARTS AND SCIENCES,1,2021-22,2
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2010-11,24
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2011-12,11
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2012-13,14
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2013-14,13
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2014-15,13
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2015-16,13
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2016-17,18
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2017-18,13
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2018-19,19
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2019-20,23
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2020-21,14
Biological Sciences,WEINBERG ARTS AND SCIENCES,1,2021-22,17
Chemistry,WEINBERG ARTS AND SCIENCES,1,2010-11,44
Chemistry,WEINBERG ARTS AND SCIENCES,1,2011-12,37
Chemistry,WEINBERG ARTS AND SCIENCES,1,2012-13,46
